NAME|POSICAO|TAMANHO
DENKI-GAI|32053|47
Please tell me! Galko-chan|32100|64
Nanana's Buried Treasure|32164|61
OneRoom|32225|53
Triage X|32278|39
Sabagebu!|32317|63
ACCA: 13-Territory Inspection Dept.|32380|95
Amagi Brilliant Park|32475|57
AOKANA: Four Rhythm Across the Blue|32532|81
Persona4 the Golden ANIMATION|32613|107
Chain Chronicle - The Light of Haecceitas -|32720|86
Skull-face Bookseller Honda-san|32806|76
Nobunagun|32882|48
Occultic;Nine|32930|60
Super Sonico - The Animation|32990|71
Sakura Quest|33061|28
Umamusume: Pretty Derby|33089|75
Magical Girl Ore|33164|57
HANEBADO!|33221|47
Junji Ito Collection|33268|92
Himegoto|33360|53
Rail Wars!|33413|39
Boogiepop and Others|33452|66
Os Cavaleiros do Zodíaco - Alma de Ouro|33518|98
To the Abandoned Sacred Beasts|33616|101
The Morose Mononokean|33717|80
Qualidea Code|33797|50
makuranodanshi|33847|31
Clockwork Planet|33878|48
SENGOKU NIGHT BLOOD|33926|117
Somali and the Forest Spirit|34043|70
The Eccentric Family|34113|87
Gugure! Kokkuri-san|34200|71
Yu-Gi-Oh! VRAINS|34271|56
Phantasy Star Online 2 The Animation|34327|87
ISUCA|34414|59
HaNaYaMaTa|34473|56
MYSTERIA Friends|34529|55
BBK/BRNK|34584|53
Happy Boys|34637|49
Monogatari S2|34686|90
DAYS|34776|34
Rewrite|34810|55
Hitoribocchi no Marumaruseikatsu|34865|78
Wakakozake|34943|56
Love Lab|34999|40
Yurumates3Dei|35039|51
GJ CLUB|35090|51
Classroom Crisis|35141|55
Kenka Bancho Otome -Girl Beats Boys-|35196|82
Wizard Barristers|35278|72
The Price of Smiles|35350|73
KONOHANA KITAN|35423|69
Gingitsune: Messenger Fox of the Gods|35492|80
Inferno Cop|35572|64
The Highschool Life of a Fudanshi|35636|77
Lance N' Masques|35713|48
Alice & Zoroku|35761|84
To Be Heroine|35845|57
Captain Earth|35902|60
Walkure Romanze|35962|69
Poco's Udon World|36031|71
ISEKAI QUARTET|36102|52
Ao-chan Can't Study!|36154|52
SSSS.GRIDMAN|36206|56
The Ryuo's Work is Never Done!|36262|47
Diabolik Lovers II MORE,BLOOD|36309|81
Arata the Legend|36390|75
Comet Lucifer|36465|37
Active Raid|36502|49
Dai-Shogun - Great Revolution|36551|86
WWW.Working!!|36637|66
Are You Lost?|36703|35
Kanojo ga Flag wo Oraretara (If Her Flag Breaks)|36738|102
Gakuen Handsome|36840|68
Toriko|36908|50
The Pilot's Love Song|36958|71
Makai Ouji: Devils and Realist|37029|66
As Miss Beelzebub Likes it.|37095|83
Ms. Koizumi-san Loves Ramen Noodles|37178|73
Kamisama Hajimemashita|37251|67
Ghost Stories|37318|49
Gourmet Girl Graffiti|37367|66
INVADERS of the ROKUJYOMA!?|37433|80
Kabaneri of the Iron Fortress|37513|94
Tsugumomo|37607|69
Break Ups|37676|54
Japanese Anime Classic Collection|37730|54
Galaxy High School|37784|40
Mononoke|37824|63
Tsurune|37887|52
Ms. Vampire who lives in my neighborhood.|37939|93
Science Fell in Love, So I Tried to Prove it|38032|91
Anime Crimes Division|38123|66
Midnight occult civil servants|38189|59
Unlimited Fafnir|38248|77
Basilisk : The Ouka Ninja Scrolls|38325|101
Ping Pong the Animation|38426|53
Planet With|38479|72
Wake Up, Girls!|38551|66
Isekai Izakaya: Japanese Food From Another World|38617|95
High School Fleet|38712|48
Holmes of Kyoto|38760|70
Lord Marksman and Vanadis|38830|95
RIN-NE|38925|76
Ahiru no Sora|39001|44
The Severing Crime Edge|39045|62
Seton Academy: Join the Pack!|39107|51
Magical Girl Spec-Ops Asuka|39158|59
Lovely Muuuuuuuco!|39217|56
UzaMaid!|39273|54
Convenience Store Boy Friends|39327|68
Tokyo Ghoul: re|39395|31
Love Live! Sunshine!!|39426|80
GARO -VANISHING LINE-|39506|75
Yu-Gi-Oh!|39581|73
18if|39654|41
Anifile|39695|23
Black Butler: Book of Circus|39718|82
A Certain Scientific Railgun|39800|58
AIURA|39858|42
Comic Girls|39900|49
Owarimonogatari|39949|93
Symphogear|40042|66
Ojisan and Marshmallow|40108|69
Teekyu|40177|61
Girly Air Force|40238|46
IDOLiSH7|40284|37
YUYUSHIKI|40321|46
Kaede New Town|40367|60
Full Metal Panic! Invisible Victory|40427|78
A Certain Scientific Accelerator|40505|63
This Art Club Has a Problem!|40568|73
gdgd Fairies|40641|29
Onee-chan ga Kita|40670|55
The Reflection|40725|56
The Garden of Sinners|40781|83
Chitose Get You!|40864|54
Katana Maidens ~ Toji No Miko|40918|75
Miss Monochrome - The Animation|40993|84
Ai-Mai-Mi|41077|47
Ange Vierge|41124|62
Akagi|41186|37
KINMOZA!|41223|45
Cuticle Detective Inaba|41268|39
I've Always Liked You|41307|66
Photo Kano|41373|48
Chivalry of a Failed Knight|41421|75
Magic Kaito 1412|41496|58
This Boy is a Professional Wizard|41554|76
My Sweet Tyrant|41630|46
YU-NO: A Girl Who Chants Love at the Bound of This World|41676|106
ALL OUT!!|41782|47
TO BE HERO|41829|64
Our love has always been 10 centimeters apart.|41893|75
Hayate the Combat Butler!|41968|87
Clean Freak! Aoyama kun|42055|69
RErideD - Derrida, who leaps through time|42124|105
Natsume Yuujinchou 6|42229|80
MOBILE SUIT GUNDAM 00|42309|58
WATATEN!: an Angel Flew Down to Me|42367|72
Sanrio Boys|42439|56
Magimoji Rurumo|42495|52
Hakuoki Reimeiroku|42547|35
Day Break Illusion|42582|65
Celestial Method|42647|55
Yuuna and the Haunted Hot Springs|42702|85
Katsugeki TOUKEN RANBU|42787|66
Room Mate|42853|54
Today's Menu for the Emiya Family|42907|71
Angolmois: Record of Mongol Invasion|42978|71
GeGeGe no Kitaro|43049|89
Fastest Finger First|43138|59
MEGANEBU!|43197|46
Komori-san Can't Decline!|43243|63
Joshi Kausei|43306|50
Darwin's Game|43356|29
Chio's School Road|43385|55
Date A Live|43440|81
Amanchu!|43521|46
Fan Service|43567|27
Holy Knight|43594|69
Time Taxi|43663|25
GTO|43688|25
Nyanko Days|43713|49
How clumsy you are, Miss Ueno.|43762|70
Hakuoki Season 1|43832|32
Anne-Happy|43864|48
GRANBELM|43912|30
Garakowa -Restore the World-|43942|57
MOBILE SUIT GUNDAM UNICORN RE:0096|43999|72
Trickster|44071|25
Star Blazers: Space Battleship Yamato|44096|52
Utakoi|44148|49
Nobunaga Concerto (Drama)|44197|41
Lord El-Melloi II's Case Files {Rail Zeppelin} Grace note|44238|104
Harukana Receive|44342|46
DOUBLE DECKER! DOUG & KIRILL|44388|73
Fafner Exodus|44461|62
Children of Ether|44523|58
Fate/Grand Order - First Order|44581|75
URAHARA|44656|72
Sparrow's Hotel|44728|69
Dances with the Dragons|44797|53
BROTHERHOOD FINAL FANTASY XV|44850|66
Young Black Jack|44916|68
Meiji Tokyo Renka|44984|73
Galilei Donna|45057|71
Momo Kyun Sword|45128|58
Love To-LIE-Angle|45186|49
CHRONOS RULER|45235|52
Yotsuiro Biyori|45287|52
The Familiar of Zero|45339|67
Fushigi Yugi|45406|77
Comical Psychosomatic Medicine|45483|68
Brave Witches|45551|44
Caligula|45595|39
Frankenstein Family|45634|56
Between the Sky and Sea|45690|71
Natsume Yuujinchou 5|45761|81
Eureka Seven|45842|68
BanG Dream!|45910|41
Stella Women’s Academy, High School Division Class C3|45951|123
Dagashi Kashi|46074|59
Mobile Suit Gundam Seed|46133|61
Akiba's Trip The Animation|46194|70
Mobile Suit Gundam Wing|46264|60
Danchigai|46324|46
Wish Upon the Pleiades|46370|84
Strange+|46454|48
Gunslinger Stratos THE ANIMATION|46502|63
La corda d’oro -Blue Sky-|46565|85
HAKYU HOSHIN ENGI|46650|73
Try Knights|46723|55
Muromi-san|46778|53
SAIYUKI RELOAD BLAST|46831|84
Zatch Bell!|46915|69
Re:ZERO -Starting Life in Another World- SHORTS|46984|130
Hinako Note|47114|49
The File of Young Kindaichi Returns|47163|100
Absolute Duo|47263|52
Zettai Boei Leviatan|47315|86
Fist of the Blue Sky: Regenesis|47401|72
Monster Strike|47473|46
Grimms Notes the Animation|47519|68
Last Cinderella|47587|31
Junjo Romantica|47618|45
Yu-Gi-Oh! 5D's|47663|75
Daily Lives of High School Boys|47738|68
Little Nemo: Adventures in Slumberland|47806|72
A Lull in the Sea (Nagi-Asu: Nagi no Asukara)|47878|84
Moyashimon|47962|47
Boku-no-imoutowa"Osaka-okan"|48009|65
Seiren|48074|44
Cheating Craft|48118|43
Os Cavaleiros do Zodíaco|48161|43
Mischievous Kiss 2 - Love in Okinawa|48204|53
Wakakozake (Drama)|48257|37
Inugami-san to Nekoyama-san|48294|59
ETOTAMA|48353|52
True Cooking Master Boy|48405|45
Xuan Yuan Sword Luminary|48450|91
B-PROJECT|48541|38
Fan Chronicles: Um Documentário Crunchyroll|48579|59
Senryu Girl|48638|49
Full Metal Panic!|48687|69
Lovely Complex|48756|45
Anohana: The Flower We Saw That Day (Drama)|48801|59
Anime de Training! Ex|48860|58
CHAOS;CHILD|48918|44
Code: Realize ~Guardian of Rebirth~|48962|74
Phantom in the Twilight|49036|86
Soul Buster|49122|65
Arakawa Under the Bridge|49187|55
Death Note|49242|48
Locodol|49290|59
Encouragement Of Climb|49349|67
BAKUON!!|49416|46
The Magnificent KOTOBUKI|49462|57
Angel's 3Piece!|49519|59
A Destructive God Sits Next to Me|49578|70
R.O.D.|49648|51
Scorching Ping Pong Girls|49699|79
Yu-Gi-Oh! GX|49778|76
Switch Girl!!|49854|34
Future Diary: Another World|49888|42
momokuri|49930|39
The Laughing Salesman|49969|76
Pan de Peace!|50045|50
Straight Title Robot Anime|50095|56
Antiquarian Bookshop Biblia's Case Files|50151|56
Black Clover (Dublagens Internacionais)|50207|98
Yu-Gi-Oh! ARC-V|50305|71
